AI,AV
-1.46E-09,-3.00E+01
-1.40E-09,-2.95E+01
-1.35E-09,-2.90E+01
-1.29E-09,-2.85E+01
-1.24E-09,-2.80E+01
-1.19E-09,-2.75E+01
-1.16E-09,-2.70E+01
-1.11E-09,-2.65E+01
-1.07E-09,-2.60E+01
-1.04E-09,-2.55E+01
-1.00E-09,-2.50E+01
-9.58E-10,-2.45E+01
-9.19E-10,-2.40E+01
-8.91E-10,-2.35E+01
-8.58E-10,-2.30E+01
-8.21E-10,-2.25E+01
-8.00E-10,-2.20E+01
-7.68E-10,-2.15E+01
-7.34E-10,-2.10E+01
-7.12E-10,-2.05E+01
-6.90E-10,-2.00E+01
-6.46E-10,-1.95E+01
-6.28E-10,-1.90E+01
-5.97E-10,-1.85E+01
-5.81E-10,-1.80E+01
-5.47E-10,-1.75E+01
-5.20E-10,-1.70E+01
-5.00E-10,-1.65E+01
-4.85E-10,-1.60E+01
-4.58E-10,-1.55E+01
-4.32E-10,-1.50E+01
-4.12E-10,-1.45E+01
-3.88E-10,-1.40E+01
-3.74E-10,-1.35E+01
-3.54E-10,-1.30E+01
-3.38E-10,-1.25E+01
-3.18E-10,-1.20E+01
-3.00E-10,-1.15E+01
-2.79E-10,-1.10E+01
-2.61E-10,-1.05E+01
-2.37E-10,-1.00E+01
-2.17E-10,-9.50E+00
-2.09E-10,-9.00E+00
-1.87E-10,-8.50E+00
-1.70E-10,-8.00E+00
-1.61E-10,-7.50E+00
-1.44E-10,-7.00E+00
-1.32E-10,-6.50E+00
-1.06E-10,-6.00E+00
-8.85E-11,-5.50E+00
-7.13E-11,-5.00E+00
-5.50E-11,-4.50E+00
-4.43E-11,-4.00E+00
-3.46E-11,-3.50E+00
-2.15E-11,-3.00E+00
-3.61E-12,-2.50E+00
15.6569E-12,-2.00E+00
34.6708E-12,-1.50E+00
50.0250E-12,-9.99E-01
56.3349E-12,-4.99E-01
75.5592E-12,970.6020E-6
95.6247E-12,500.4949E-3
107.9081E-12,1.0006E+0
121.3272E-12,1.5013E+0
131.5072E-12,2.0015E+0
151.9934E-12,2.4985E+0
164.1926E-12,2.9986E+0
170.7549E-12,3.4990E+0
185.3519E-12,3.9990E+0
207.8152E-12,4.4994E+0
220.7296E-12,4.9999E+0
236.7568E-12,5.5000E+0
262.2489E-12,6.0003E+0
268.2223E-12,6.5000E+0
292.7048E-12,7.0002E+0
303.3896E-12,7.5006E+0
316.2619E-12,8.0011E+0
336.1592E-12,8.5013E+0
356.0985E-12,9.0014E+0
374.6077E-12,9.5018E+0
389.3729E-12,10.0021E+0
403.0023E-12,10.5022E+0
413.6451E-12,11.0027E+0
430.3453E-12,11.5031E+0
447.1297E-12,12.0033E+0
462.1474E-12,12.5034E+0
476.6602E-12,13.0038E+0
490.2476E-12,13.5039E+0
495.8424E-12,14.0039E+0
509.4719E-12,14.5037E+0
531.2621E-12,15.0040E+0
543.8819E-12,15.5038E+0
556.4597E-12,16.0037E+0
562.6435E-12,16.5037E+0
580.9422E-12,17.0038E+0
584.1393E-12,17.5036E+0
604.8358E-12,18.0034E+0
617.8764E-12,18.5035E+0
626.6261E-12,19.0034E+0
640.8445E-12,19.5034E+0
646.8600E-12,20.0027E+0
663.4340E-12,20.5026E+0
674.1189E-12,21.0025E+0
698.4752E-12,21.5025E+0
693.2590E-12,22.0026E+0
714.6285E-12,22.5023E+0
730.1089E-12,23.0022E+0
747.9029E-12,23.5022E+0
756.2740E-12,24.0023E+0
769.4408E-12,24.5021E+0
785.0894E-12,25.0020E+0
796.0686E-12,25.5022E+0
805.7018E-12,26.0020E+0
822.1918E-12,26.5019E+0
826.8191E-12,27.0027E+0
840.8271E-12,27.5028E+0
857.2329E-12,28.0033E+0
865.8564E-12,28.5037E+0
883.3139E-12,29.0038E+0
898.6681E-12,29.5007E+0
901.1079E-12,30.0009E+0
879.1073E-12,30.0011E+0
844.9495E-12,29.5008E+0
804.5239E-12,29.0039E+0
755.2224E-12,28.5037E+0
732.8853E-12,28.0033E+0
702.5135E-12,27.5030E+0
664.1491E-12,27.0027E+0
643.7891E-12,26.5019E+0
609.6735E-12,26.0021E+0
584.7703E-12,25.5022E+0
558.0583E-12,25.0021E+0
528.2333E-12,24.5019E+0
511.3228E-12,24.0023E+0
488.3126E-12,23.5023E+0
456.7208E-12,23.0023E+0
433.7948E-12,22.5025E+0
406.1573E-12,22.0026E+0
388.7839E-12,21.5026E+0
371.3265E-12,21.0026E+0
354.5000E-12,20.5026E+0
327.6618E-12,20.0027E+0
313.8220E-12,19.5034E+0
299.0989E-12,19.0035E+0
283.0716E-12,18.5036E+0
268.6009E-12,18.0035E+0
254.1722E-12,17.5036E+0
229.1849E-12,17.0037E+0
218.9207E-12,16.5038E+0
205.0389E-12,16.0037E+0
191.3674E-12,15.5039E+0
170.2081E-12,15.0040E+0
162.3838E-12,14.5039E+0
152.9609E-12,14.0039E+0
128.2681E-12,13.5041E+0
116.7420E-12,13.0038E+0
100.6727E-12,12.5037E+0
92.0070E-12,12.0034E+0
72.1939E-12,11.5030E+0
61.0884E-12,11.0026E+0
47.8376E-12,10.5023E+0
38.2465E-12,10.0021E+0
24.1122E-12,9.5017E+0
18.1388E-12,9.0015E+0
-6.65E-13,8.5012E+0
-1.96E-11,8.0010E+0
-2.77E-11,7.5006E+0
-3.96E-11,7.0002E+0
-5.43E-11,6.5001E+0
-5.69E-11,6.0003E+0
-7.64E-11,5.5000E+0
-8.61E-11,4.9998E+0
-9.65E-11,4.4995E+0
-9.94E-11,3.9990E+0
-1.13E-10,3.4988E+0
-1.21E-10,2.9985E+0
-1.38E-10,2.4983E+0
-1.50E-10,2.0013E+0
-1.53E-10,1.5012E+0
-1.66E-10,1.0005E+0
-1.87E-10,500.4281E-3
-1.94E-10,128.4168E-6
-1.97E-10,-4.99E-01
-2.11E-10,-1.00E+00
-2.29E-10,-1.50E+00
-2.34E-10,-2.00E+00
-2.45E-10,-2.50E+00
-2.51E-10,-3.00E+00
-2.65E-10,-3.50E+00
-2.72E-10,-4.00E+00
-2.92E-10,-4.50E+00
-3.02E-10,-5.00E+00
-3.07E-10,-5.50E+00
-3.34E-10,-6.00E+00
-3.38E-10,-6.50E+00
-3.57E-10,-7.00E+00
-3.58E-10,-7.50E+00
-3.72E-10,-8.00E+00
-3.81E-10,-8.50E+00
-3.96E-10,-9.00E+00
-4.08E-10,-9.50E+00
-4.28E-10,-1.00E+01
-4.32E-10,-1.05E+01
-4.59E-10,-1.10E+01
-4.69E-10,-1.15E+01
-4.83E-10,-1.20E+01
-4.92E-10,-1.25E+01
-5.05E-10,-1.30E+01
-5.28E-10,-1.35E+01
-5.39E-10,-1.40E+01
-5.52E-10,-1.45E+01
-5.66E-10,-1.50E+01
-5.79E-10,-1.55E+01
-5.94E-10,-1.60E+01
-6.18E-10,-1.65E+01
-6.25E-10,-1.70E+01
-6.50E-10,-1.75E+01
-6.72E-10,-1.80E+01
-6.96E-10,-1.85E+01
-7.17E-10,-1.90E+01
-7.30E-10,-1.95E+01
-7.53E-10,-2.00E+01
-7.80E-10,-2.05E+01
-7.94E-10,-2.10E+01
-8.18E-10,-2.15E+01
-8.34E-10,-2.20E+01
-8.60E-10,-2.25E+01
-8.94E-10,-2.30E+01
-9.22E-10,-2.35E+01
-9.44E-10,-2.40E+01
-9.69E-10,-2.45E+01
-9.97E-10,-2.50E+01
-1.03E-09,-2.55E+01
-1.07E-09,-2.60E+01
-1.10E-09,-2.65E+01
-1.14E-09,-2.70E+01
-1.17E-09,-2.75E+01
-1.20E-09,-2.80E+01
-1.23E-09,-2.85E+01
-1.27E-09,-2.90E+01
-1.30E-09,-2.95E+01
-1.34E-09,-3.00E+01